name,phone,website,address
India Cafe,(734) 622-0115,http://www.indiacafea2.com/,"1143 Broadway St, Ann Arbor, MI 48105, USA"
Swagath Indian Groceries,(248) 987-5859,,"24351 Halsted Rd, Farmington Hills, MI 48335, USA"
Troy Indian Groceries,(248) 526-0427,,"61 E Maple Rd, Troy, MI 48083, USA"
Sunshine indian Groceries,(818) 887-6917,http://sunshineindianplaza.com/,"Sunshine Grocery And Beauty Salon, 7518 Topanga Canyon Blvd, Canoga Park, CA 91303, USA"
Best Indian Grocery & Travels,(954) 252-0011,,"9750 Griffin Rd, Cooper City, FL 33328, USA"
"India Spice House - Indian Restaurant and Grocery in Eden Prairie, MN",(952) 942-8010,http://www.indiaspicehouseep.com/,"8445 Joiner Way, Eden Prairie, MN 55344, USA"
India Grocers,(248) 888-0821,http://www.allindiagrocers.com/,"39261 Grand River Ave, Farmington Hills, MI 48335, USA"
Seema Enterprises (Indian Grocery) & Seema World Travel Inc,(314) 423-9990,https://www.facebook.com/pageseema/,"10635 Page Ave, St. Louis, MO 63132, USA"
Arrow Indian Grocery,(847) 243-4999,https://www.facebook.com/ArrowIndianGrocery,"21 N Buffalo Grove Rd, Buffalo Grove, IL 60089, USA"
Bhanu's Indian Grocery & Cuisine,(626) 291-2101,http://www.mybhanu.com/,"7246 Rosemead Blvd, San Gabriel, CA 91775, USA"
Patel Brothers,(734) 427-4445,http://patelbros.com/,"28684 Ford Rd, Garden City, MI 48135, USA"
India's Grocery,(720) 565-0475,http://www.livevedalife.com/,"2877 28th St, Boulder, CO 80304, USA"
Indian Groceries & Spices,(414) 771-3535,http://wisindians.com/igs,"10701 W North Ave, Milwaukee, WI 53226, USA"
Indian Grocery Store,(330) 928-7060,,"2619 Bailey Rd, Cuyahoga Falls, OH 44221, USA"
spices of india & middle eastern groceries,(803) 772-1880,http://www.spicesofindiasc.com/,"544 St Andrews Rd, Columbia, SC 29210, USA"
Mythri Indian Groceries,(303) 993-7125,http://www.mythrigroceries.com/,"9064 Forsstrom Dr B25, Lone Tree, CO 80124, USA"
Patel Brothers Indian Grocery,(813) 558-9090,http://www.patelbros.com/,"1251 E Fowler Ave F, Tampa, FL 33612, USA"
Spiceland Indian Groceries,(803) 796-5780,http://spiceindiagrocery.com/,"127 Dreher Rd, West Columbia, SC 29169, USA"
India Bazaar,(972) 312-0114,http://www.indiabazaardfw.com/,"832 W Spring Creek Pkwy, Plano, TX 75023, USA"
Namaste Indian Grocery,(585) 424-2980,http://www.shopatnamaste.com/,"3047 W Henrietta Rd, Rochester, NY 14623, USA"
name,phone,website,address
Metro Market,(312) 906-3876,http://www.metrospicemart.com/en/,"300 N Canal St # 3, Chicago, IL 60606, USA"
Metro Spice Mart,(312) 877-5058,http://metrospicemart.com/en/,"229 S Jefferson St, Chicago, IL 60661, USA"
Oberoi's Indian Food & Grocery,(773) 688-8676,http://www.oberoisfoodchicago.com/,"255 W 31st St, Chicago, IL 60616, USA"
Indian Grocery & Imports,(773) 262-7777,,"2610 W Devon Ave, Chicago, IL 60659, USA"
Indian Groceries & Spices,(847) 674-2480,http://niravproducts.com/,"8051 Central Park Ave, Skokie, IL 60076, USA"
A1 Indian Groceries,(630) 960-4900,,"6601 Cass Ave, Westmont, IL 60559, USA"
Arrow Indian Grocery,(847) 243-4999,https://www.facebook.com/ArrowIndianGrocery,"21 N Buffalo Grove Rd, Buffalo Grove, IL 60089, USA"
PRABHU INDIAN GROCERIES,(847) 537-1010,,"1213 N Elmhurst Rd, Prospect Heights, IL 60070, USA"
Kairali Grocery & Food,(847) 729-2100,http://www.kairalifoods.com/,"777 N Milwaukee Ave, Glenview, IL 60025, USA"
Mayuri Mini Mart Indian Grocery,(630) 357-1738,,"790 Royal St George Dr #145, Naperville, IL 60563, USA"
Sinbad Pakistan And Indian Grocery,(847) 674-9999,,"4911 Dempster St, Skokie, IL 60077, USA"
